Code compiled on Mar 13 2026 at 16:53:56
ï»¿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.595
Air Density (kg/m^3),1.254
Rocket CD,0.55
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.2
Kalman Model V STD,0.5
Kalman Model A STD,0.5
Kalman Measurement Y STD,2
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.595
Air Density (kg/m^3),1.254
Rocket CD,0.55
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.2
Kalman Model V STD,0.5
Kalman Model A STD,0.5
Kalman Measurement Y STD,2
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Locko-1.091170,-0.122255,37.159428,0.094781,1.121860,27.357259,-0.335754,0.415234,19.999883,0.000000,0.000000,
232671526,47.722198,14.283595,2,-0.227356,-0.011841,0.064148,0.971619,-2.579486,-2.756600,52.324314,-1.630072,9.828686,41.701865,46.538759,79.824198,42.459913,0.000000,0.000000,
232682346,48.811951,14.288139,2,-0.203247,-0.012939,0.064758,0.976929,-3.020405,-3.178872,51.353859,-1.145501,10.316110,40.678631,47.632823,80.570715,41.155924,0.000000,0.000000,
232691842,49.310058,14.292683,2,-0.178528,-0.013794,0.064880,0.981689,-2.783655,-2.272081,50.166574,-0.697582,9.228133,39.630153,48.567952,81.174022,40.038982,0.000000,0.000000,
232701713,50.203918,14.297227,2,-0.153259,-0.014404,0.064697,0.985962,-2.816090,-2.760820,47.872002,-0.450500,9.357534,37.305558,49.534934,81.762821,38.037977,0.000000,0.000000,
232712463,51.680939,14.292683,2,-0.127563,-0.014587,0.064026,0.989624,-2.955081,-2.426435,45.610799,0.192389,8.681105,35.134633,50.631088,82.429954,35.912582,0.000000,0.000000,
232722085,51.981018,14.297227,2,-0.101562,-0.014465,0.063049,0.992737,-2.918278,-1.856548,42.316403,0.735740,7.565924,31.969645,51.561022,82.919525,33.026152,0.000000,0.000000,
232731740,52.659881,14.283595,2,-0.075195,-0.014160,0.061768,0.995178,-2.943452,-2.433299,37.245532,1.159521,7.328258,26.899761,52.472795,83.327093,28.541323,0.000000,0.000000,
232742769,52.075714,14.292683,2,-0.048645,-0.013611,0.060242,0.996887,-2.737475,-1.985957,33.724392,1.429765,6.238068,23.479671,53.353247,83.534528,24.835936,0.000000,0.000000,
232752189,53.355316,14.288139,2,-0.021912,-0.012939,0.058411,0.997986,-2.838257,-1.426910,30.229185,1.924766,5.043870,20.112640,54.141066,83.722701,21.378244,0.000000,0.000000,
232762140,53.750152,14.288139,2,0.004822,-0.012268,0.056396,0.998291,-2.868870,-1.493060,27.622838,2.227889,4.570186,17.537849,54.935748,83.844781,18.566880,0.000000,0.000000,
232772883,53.663727,14.301770,2,0.031616,-0.011719,0.054199,0.997986,-2.810747,-1.356576,24.569852,2.404076,3.845426,14.548496,55.709584,83.830824,15.625218,0.000000,0.000000,
232782486,54.050812,14.292683,2,0.058228,-0.011230,0.051941,0.996887,-2.870494,-0.963661,22.285645,2.607594,2.955448,12.338016,56.348600,83.723788,13.218819,0.000000,0.000000,
232792224,54.832794,14.283595,2,0.084656,-0.010925,0.049683,0.995117,-2.791755,-1.226127,17.045060,2.737111,2.450287,7.121597,57.012094,83.588654,8.755342,0.000000,0.000000,
232803237,54.936279,14.288139,2,0.110962,-0.010864,0.047363,0.992615,-2.405960,-0.763733,12.241381,2.382233,1.385199,2.385391,57.724333,83.338131,4.092214,0.000000,0.000000,
232812631,54.841064,14.292683,2,0.137146,-0.011108,0.045166,0.989441,-2.413922,-0.395745,9.500124,2.343981,0.596637,-0.293808,58.217660,82.942762,0.881422,0.000000,0.000000,
232822502,56.121521,14.288139,2,0.163086,-0.011719,0.043030,0.985596,-2.135038,-0.550264,7.213596,2.135369,0.469409,-2.578917,58.826035,82.635142,-1.651723,0.000000,0.000000,
232833574,56.318725,14.288139,2,0.188965,-0.012817,0.040955,0.981079,-1.934821,-0.378445,3.857796,1.907243,-0.039940,-5.912125,59.488853,82.234041,-4.770554,0.000000,0.000000,
232842906,57.504669,14.288139,2,0.214600,-0.014282,0.039001,0.975830,-1.831470,-0.181114,2.906738,1.709913,-0.370677,-6.837326,60.056704,81.900071,-6.283536,0.000000,0.000000,
232852628,57.504669,14.288139,2,0.240112,-0.016113,0.036987,0.969910,-1.412160,-0.511157,0.996732,1.470807,-0.132778,-8.771420,60.596653,81.471067,-8.104794,0.000000,0.000000,
232863700,59.085754,14.288139,2,0.265381,-0.018127,0.035034,0.963318,-0.907168,-0.427675,-0.113277,0.999993,-0.113596,-9.888963,61.346459,81.159388,-9.410897,0.000000,0.000000,
232873185,60.074188,14.288139,2,0.290527,-0.020325,0.033447,0.956055,-0.787837,-0.267153,-0.779098,0.818606,-0.275777,-10.544605,61.988031,80.886480,-10.240829,0.000000,0.000000,
