Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment
27013725,-0.172218,26.02685,1,-0.585938,-0.045715,0.803467,-0.095215,9.17,-0.17,-2.01,-0.925652,0.595027,-0.472444,-0.207951,-0.087851,-0.50553,0.25,0.25
27023221,-0.361244,26.02685,1,-0.585754,-0.045959,0.803528,-0.09552,9.77,0.59,-1.36,-1.859004,1.2252,-0.170595,-0.218382,-0.09951,-0.26034,0.25,0.25
27034892,0.010125,26.017576,1,-0.586487,-0.047729,0.802979,-0.094788,9.82,0.24,-1.49,-1.625943,0.808977,-0.039895,-0.205204,-0.085147,-0.098963,0.25,0.25
27043664,0.10772,26.022213,1,-0.58783,-0.051636,0.801941,-0.09314,10.84,-0.51,-1.76,-1.542877,0.153353,1.089338,-0.186212,-0.054098,0.770934,0.25,0.25
27053148,0.010125,26.017576,1,-0.588928,-0.056824,0.800964,-0.091675,11.13,-1.09,-1.78,-1.451776,-0.497089,1.418589,-0.17433,-0.027714,1.24505,0.25,0.25
27065140,-0.36689,26.017576,1,-0.588989,-0.059814,0.800598,-0.092407,10.86,-1.01,-1.85,-1.354897,-0.39588,1.173835,-0.186679,-0.026277,1.192917,0.25,0.25
27074014,-0.178901,26.017576,1,-0.58728,-0.059387,0.801575,-0.095215,8.9,-0.28,-2.35,-0.450731,0.395912,-0.612137,-0.186523,-0.032364,-0.128474,0.25,0.25
27083484,-0.178901,26.017576,1,-0.584839,-0.059631,0.803101,-0.097412,8.67,-1.83,-2.73,0.241426,-1.016694,-0.585764,-0.186392,-0.037411,-0.463233,0.25,0.25
27095174,-0.184547,26.008303,1,-0.583191,-0.064453,0.803955,-0.096985,9.04,-1.99,-3.02,0.417066,-1.23398,-0.135119,-0.186712,-0.039062,-0.223037,0.25,0.25
27103976,-0.653495,26.01294,1,-0.582642,-0.070251,0.803955,-0.096069,8.37,0.19,-1.72,-1.054876,0.582399,-1.333833,-0.216556,-0.082905,-1.036196,0.25,0.25
27113374,0.465752,25.994392,1,-0.584351,-0.077454,0.802307,-0.093811,8.94,0.51,-0.72,-2.176132,0.530727,-1.098421,-0.174474,-0.047579,-1.081747,0.25,0.25
27125298,-0.842003,26.01294,1,-0.588379,-0.087524,0.799011,-0.088074,8.04,2.41,0.93,-3.614039,1.585273,-2.479148,-0.21732,-0.120776,-2.104716,0.25,0.25
27134152,-0.282142,26.003666,1,-0.594299,-0.098816,0.794067,-0.080994,8.14,0.76,-0.24,-2.198342,0.291301,-1.932945,-0.222547,-0.142172,-1.978971,0.25,0.25
