Code compiled on Mar 21 2026 at 12:11:29
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.6
Air Density (kg/m^3),1.193
Rocket CD,0.5
Airbrake CD,0.7
Rocket Area (m^2),0.00243
Kalman Model Y STD,1
Kalman Model V STD,0.4
Kalman Model A STD,5
Kalman Measurement Y STD,5
Kalman Measurement A STD,2
Target Apogee (m),224.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),90
Control Max Velocity (dep/s),5

Calibration point: 285.586030
Time (us),RAW Altitude AGL (m),Corrected Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
252941048,21.496459,21.496459,34.339871,2,-0.092957,-0.047791,-0.073242,-0.991821,1.761927,1.744114,80.567967,6.696424,9.631777,69.948153,22.571077,59.293024,70.119108,0.000000,0.000000,
252950326,22.735930,22.735930,34.339871,2,-0.113159,-0.042847,-0.069946,-0.990173,1.845040,2.247433,78.748313,5.640403,8.399924,68.348045,23.154982,59.946321,68.957523,0.000000,0.000000,
252960211,23.445586,23.445586,34.335342,2,-0.133911,-0.038086,-0.066467,-0.988037,1.838813,2.835255,78.057355,4.755402,7.236912,67.844398,23.805302,60.651648,68.227461,0.000000,0.000000,
252970928,23.561614,23.561614,34.339871,2,-0.155151,-0.033691,-0.062744,-0.985352,1.761235,2.714477,77.496966,4.152633,6.754803,67.359120,24.413433,61.344841,67.657942,0.000000,0.000000,
252980388,24.594603,24.594603,34.339871,2,-0.176819,-0.029663,-0.059082,-0.981995,1.608509,3.558217,76.281290,3.303396,5.306419,66.319432,25.030642,61.993610,66.780056,0.000000,0.000000,
252991307,25.806975,25.806975,34.330812,2,-0.198792,-0.026001,-0.055481,-0.978149,1.577180,3.379549,75.344582,2.735078,4.920872,65.423140,25.857028,62.800832,65.890100,0.000000,0.000000,
253000744,26.246367,26.246367,34.339871,2,-0.221008,-0.022888,-0.052063,-0.973633,1.492911,3.776927,74.071858,2.041391,4.016233,64.242946,26.525508,63.453557,64.809785,0.000000,0.000000,
253010322,27.163024,27.163024,34.335342,2,-0.243225,-0.020081,-0.048950,-0.968506,1.200413,4.017948,73.293985,1.644184,3.277382,63.517758,27.255641,64.137850,63.962387,0.000000,0.000000,
253021382,27.783324,27.783324,34.335342,2,-0.265503,-0.017761,-0.046326,-0.962830,1.317781,4.077496,72.427136,1.042855,2.965324,62.687869,28.067753,64.894170,63.126472,0.000000,0.000000,
253030850,29.525267,29.525267,34.330812,2,-0.287781,-0.015808,-0.044189,-0.956543,0.779783,4.154482,71.339823,1.029933,2.359507,61.615911,28.958283,65.652730,62.135749,0.000000,0.000000,
253040583,29.642394,29.642394,34.335342,2,-0.310181,-0.014221,-0.042664,-0.949646,0.843681,3.751975,70.579868,0.882902,2.580517,60.832375,29.728361,66.326183,61.280909,0.000000,0.000000,
253051401,30.468627,30.468627,34.335342,2,-0.332458,-0.012939,-0.041870,-0.942078,0.585608,3.914841,68.503048,0.671794,2.138767,58.783435,30.588042,67.050599,59.642897,0.000000,0.000000,
253060783,31.088622,31.088622,34.335342,2,-0.354736,-0.011902,-0.041687,-0.933960,0.424443,3.882260,69.240131,0.698814,2.191450,59.515503,31.313606,67.669051,59.559345,0.000000,0.000000,
253070488,32.031127,32.031127,34.339871,2,-0.377075,-0.010986,-0.042236,-0.925171,0.184257,3.072773,67.003705,1.220734,2.614976,57.215254,32.107409,68.309263,58.021932,0.000000,0.000000,
253081545,32.535063,32.535063,34.335342,2,-0.399353,-0.010132,-0.043335,-0.915710,0.422281,2.899454,65.907914,1.098497,3.032838,56.095555,32.946247,68.980759,56.758483,0.000000,0.000000,
253091037,33.865538,33.865538,34.330812,2,-0.421692,-0.009277,-0.045105,-0.905579,0.497442,2.465344,64.612428,1.341890,3.563560,54.747793,33.775814,69.610107,55.439738,0.000000,0.000000,
253101831,33.477690,33.477690,34.339871,2,-0.444031,-0.008301,-0.047424,-0.894714,0.527275,2.225685,63.161085,1.513216,3.967297,53.254332,34.474273,70.150272,54.006397,0.000000,0.000000,
253111060,34.808806,34.808806,34.335342,2,-0.466431,-0.007080,-0.050110,-0.883118,0.561057,1.591364,62.642762,2.086267,4.696389,52.654225,35.186613,70.675874,53.119551,0.000000,0.000000,
253120766,35.609526,35.609526,34.326283,2,-0.488831,-0.005737,-0.053101,-0.870728,0.693593,1.562357,61.348286,2.105774,5.111068,51.316723,35.954194,71.223956,51.937134,0.000000,0.000000,
253131437,36.346007,36.346007,34.330812,2,-0.511353,-0.004089,-0.056274,-0.857544,1.002392,0.742396,60.528099,2.775428,6.110835,50.365379,36.790477,71.807970,50.906270,0.000000,0.000000,
253140885,36.462706,36.462706,34.335342,2,-0.533875,-0.002258,-0.059387,-0.843445,1.260391,1.003292,58.054970,2.454351,6.381188,47.874256,37.409471,72.220371,48.917665,0.000000,0.000000,
253150597,37.198729,37.198729,34.339871,2,-0.556396,-0.000061,-0.062378,-0.828552,1.297170,0.502489,58.213681,3.089203,7.011368,47.917536,38.073609,72.660957,48.261711,0.000000,0.000000,
253161597,38.207152,38.207152,34.330812,2,-0.579041,0.002380,-0.065125,-0.812683,1.684923,0.328252,55.755247,3.127058,7.528272,45.379304,38.900541,73.177035,46.371231,0.000000,0.000000,
253171092,38.943816,38.943816,34.335342,2,-0.601746,0.005127,-0.067505,-0.795837,1.831327,0.529733,54.605099,2.977035,7.809004,44.195455,39.605361,73.601050,44.944207,0.000000,0.000000,
253181981,40.068083,40.068083,34.330812,2,-0.624451,0.008057,-0.069397,-0.777954,1.998001,0.087415,53.401793,3.434712,8.221342,42.885408,40.496036,74.123335,43.593907,0.000000,0.000000,
253191420,41.102721,41.102721,34.330812,2,-0.647156,0.011169,-0.070801,-0.758972,1.952679,0.488014,51.833139,3.073498,8.156235,41.333814,41.311208,74.585326,42.111585,0.000000,0.000000,
253200991,41.011931,41.011931,34.335342,2,-0.669800,0.014404,-0.071533,-0.738953,1.844200,0.383467,50.657528,3.200350,8.110466,40.132426,41.970730,74.933917,40.813515,0.000000,0.000000,
253211800,41.515776,41.515776,34.330812,2,-0.692200,0.017700,-0.071716,-0.717896,2.026148,0.589556,48.824813,2.927523,8.211966,38.289571,42.697542,75.295523,39.158137,0.000000,0.000000,
253221142,42.253722,42.253722,34.335342,2,-0.714294,0.020935,-0.071167,-0.695862,2.012509,0.811141,45.865687,2.553722,7.932544,35.356620,43.319119,75.571658,36.664839,0.000000,0.000000,
253231041,42.873381,42.873381,34.335342,2,-0.735962,0.024048,-0.070068,-0.672974,1.667434,0.727456,43.800246,2.509539,7.388102,33.340331,43.985183,75.849673,34.484396,0.000000,0.000000,
253242033,44.088927,44.088927,34.326283,2,-0.757080,0.027039,-0.068420,-0.649170,1.740697,1.125354,41.680579,1.992280,7.290179,31.236177,44.840124,76.206478,32.353991,0.000000,0.000000,
253251527,44.852996,44.852996,34.339871,2,-0.777649,0.029846,-0.066284,-0.624451,1.103568,0.874362,34.209496,1.624548,5.673728,23.922322,45.566719,76.431992,26.823922,0.000000,0.000000,
253261111,45.860594,45.860594,34.330812,2,-0.797546,0.032349,-0.063721,-0.598999,0.360977,1.409872,25.176202,0.325434,3.954634,15.104057,46.354506,76.610272,19.137229,0.000000,0.000000,
253272188,46.804442,46.804442,34.335342,2,-0.816650,0.034485,-0.060913,-0.572937,-0.180029,1.114342,21.087283,0.153628,2.869936,11.115036,47.287824,76.789838,13.875724,0.000000,0.000000,
253281605,47.425902,47.425902,34.335342,2,-0.834900,0.036316,-0.057861,-0.546082,-0.563232,0.954672,16.461675,-0.167346,1.906801,6.586549,48.036791,76.865408,9.094982,0.000000,0.000000,
253292442,48.253569,48.253569,34.335342,2,-0.852417,0.037903,-0.054749,-0.518616,-0.429960,1.109695,13.198893,-0.462639,1.730925,3.333303,48.910385,76.929060,5.316077,0.000000,0.000000,
253301546,49.198149,49.198149,34.339871,2,-0.869019,0.039429,-0.051819,-0.490479,-1.018290,0.569695,10.569850,-0.465805,0.688001,0.798436,49.664522,76.968531,2.353098,0.000000,0.000000,
253311380,49.289031,49.289031,34.335342,2,-0.884827,0.040771,-0.049133,-0.461548,-1.141642,0.773518,8.131857,-0.882019,0.466819,-1.612652,50.350845,76.909135,-0.247915,0.000000,0.000000,
253322124,49.910155,49.910155,34.335342,2,-0.899719,0.042175,-0.046875,-0.431885,-1.027377,0.402188,6.551672,-0.636533,0.211949,-3.187842,51.094258,76.824527,-2.176124,0.000000,0.000000,
253331601,51.061614,51.061614,34.339871,2,-0.913757,0.043457,-0.044983,-0.401489,-1.247995,0.289037,4.965628,-0.820692,-0.150356,-4.735227,51.815875,76.774992,-3.854560,0.000000,0.000000,
253341320,51.979949,51.979949,34.335342,2,-0.926758,0.044861,-0.043518,-0.370422,-1.195134,0.273071,3.351522,-0.890375,-0.242387,-6.347875,52.592383,76.732427,-5.489847,0.000000,0.000000,
253352417,51.890074,51.890074,34.339871,2,-0.938782,0.046326,-0.042419,-0.338684,-1.238649,-0.128668,2.607700,-0.747340,-0.585057,-7.064269,53.311744,76.573090,-6.522464,0.000000,0.000000,
253361655,52.601226,52.601226,34.335342,2,-0.949829,0.047852,-0.041748,-0.306274,-0.903582,0.305800,0.398760,-0.893554,-0.231275,-9.324839,53.885396,76.401218,-8.360458,0.000000,0.000000,
253371540,54.141082,54.141082,34.330812,2,-0.959778,0.049561,-0.041321,-0.273315,-0.789630,-0.281785,0.221227,-0.510390,-0.625745,-9.477381,54.688015,76.337463,-9.093012,0.000000,0.000000,
253382298,54.050658,54.050658,34.335342,2,-0.968628,0.051392,-0.041077,-0.239624,-0.356999,0.164606,-1.429036,-0.470464,-0.193349,-11.197058,55.389060,76.143411,-10.472993,0.000000,0.000000,
253391789,55.203093,55.203093,34.339871,2,-0.976379,0.053406,-0.040955,-0.205261,-0.479592,0.142148,-1.572524,-0.591284,-0.261092,-11.319116,56.076329,76.013726,-11.027939,0.000000,0.000000,
253402599,55.500853,55.500853,34.335342,2,-0.982971,0.055542,-0.040833,-0.170349,-0.154081,0.057133,-2.683169,-0.329559,-0.332348,-12.450371,56.789368,75.812391,-11.960870,0.000000,0.000000,
253412065,56.329161,56.329161,34.335342,2,-0.988342,0.057739,-0.040649,-0.135010,-0.247595,0.493749,-3.073220,-0.570690,0.022398,-12.867392,57.420109,75.635719,-12.555432,0.000000,0.000000,
