Code compiled on Mar 21 2026 at 12:11:29
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,QF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.6
Air Density (kg/m^3),1.193
Rocket CD,0.5
Airbrake CD,0.7
Rocket Area (m^2),0.00243
Kalman Model Y STD,1
Kalman Model V STD,0.4
Kalman Model A STD,5
Kalman Measurement Y STD,5
Kalman Measurement A STD,2
Target Apogee (m),225
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),90
Control Max Velocity (dep/s),5

Calibration point: 293.222158
Time (us),RAW Altitude AGL (m),Corrected Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
158479399,38.474680,38.474680,35.639671,2,-0.916870,-0.066406,0.007324,-0.393555,-17.697756,-0.125606,67.227835,-9.514034,-21.407321,55.653937,36.506534,66.517259,56.070667,0.000000,0.000000,
158489099,39.719706,39.719706,35.639671,2,-0.951050,-0.052002,0.009644,-0.304504,-17.529854,-0.636504,66.052793,-13.027185,-17.570071,54.942705,37.756479,67.430207,55.330885,0.000000,0.000000,
158500006,39.899332,39.899332,35.630614,2,-0.975830,-0.036926,0.012146,-0.215027,-16.694142,-1.797415,65.104503,-14.893899,-13.641285,54.327797,38.896895,68.275165,54.672999,0.000000,0.000000,
158509339,41.172556,41.172556,35.639671,2,-0.991638,-0.020752,0.014587,-0.126526,-16.805457,-1.427308,63.037322,-17.390818,-8.406116,52.526110,39.963003,69.036856,53.264932,0.000000,0.000000,
158520283,42.508250,42.508250,35.635143,2,-0.999023,-0.002991,0.016907,-0.040710,-16.097843,-1.587166,62.186000,-17.988345,-3.341496,51.788692,41.198890,69.904330,52.296722,0.000000,0.000000,
158529554,42.002939,42.002939,35.639671,2,-0.998840,0.016113,0.019165,0.040833,-15.885959,-0.532206,60.749693,-18.102821,2.805571,50.258751,41.999826,70.465864,50.960084,0.000000,0.000000,
158539391,42.508250,42.508250,35.635143,2,-0.992004,0.036682,0.021118,0.118958,-16.035731,-0.096442,59.862106,-17.571028,8.318037,49.037808,42.790577,71.008330,49.699325,0.000000,0.000000,
158551068,43.040598,43.040598,35.639671,2,-0.979187,0.058289,0.022644,0.193176,-16.883708,0.619409,58.104214,-16.693061,14.465357,46.667113,43.669701,71.584650,47.710592,0.000000,0.000000,
158559932,43.961008,43.961008,35.635143,2,-0.960938,0.080627,0.023804,0.263672,-17.550643,1.752796,57.382672,-14.379316,19.917722,44.975542,44.360513,72.016623,45.916759,0.000000,0.000000,
158569430,44.909525,44.909525,35.639671,2,-0.937439,0.103638,0.024353,0.331482,-18.343099,1.385289,56.266856,-12.128596,24.194576,42.845826,45.149216,72.488324,43.902632,0.000000,0.000000,
158581311,46.064890,46.064890,35.644200,2,-0.908936,0.126587,0.024597,0.396484,-19.136066,2.838085,54.765005,-8.008648,29.651667,39.782099,46.184842,73.071412,41.200106,0.000000,0.000000,
158590176,47.933817,47.933817,35.644200,2,-0.875549,0.149353,0.024414,0.458862,-20.579700,2.120471,53.797395,-5.097049,32.790731,37.327832,47.162038,73.611304,38.660411,0.000000,0.000000,
158600754,49.269877,49.269877,35.639671,2,-0.837524,0.171387,0.023865,0.518250,-21.516743,2.167860,53.092118,-0.724798,35.931842,34.865316,48.337751,74.230096,36.171335,0.000000,0.000000,
158610036,50.517222,50.517222,35.639671,2,-0.793762,0.192261,0.023010,0.576538,-23.299636,1.468586,51.102229,3.031811,38.453754,31.040512,49.436470,74.776226,32.806198,0.000000,0.000000,
158619660,52.386423,52.386423,35.639671,2,-0.743469,0.211609,0.022400,0.633972,-23.569079,1.590046,49.836848,8.622534,39.255533,27.965299,50.709856,75.391348,29.631215,0.000000,0.000000,
158630660,54.049052,54.049052,35.639671,2,-0.686279,0.229187,0.022156,0.689941,-24.758540,1.069803,48.000240,13.578860,39.694159,24.228042,52.166256,76.049428,26.087455,0.000000,0.000000,
158640057,55.177897,55.177897,35.635143,2,-0.619202,0.244507,0.023010,0.745789,-25.103371,0.585507,47.045967,19.210032,38.623418,21.543131,53.446214,76.607992,23.106988,0.000000,0.000000,
158649616,56.334940,56.334940,35.639671,2,-0.545532,0.257874,0.023865,0.797058,-26.317967,0.958060,43.999169,24.931300,36.227044,16.558963,54.720143,77.104460,18.812354,0.000000,0.000000,
158660642,57.880656,57.880656,35.635143,2,-0.466492,0.269104,0.024475,0.842224,-27.699254,-1.136525,37.522244,26.865645,33.007376,9.296295,56.162800,77.579116,12.571080,0.000000,0.000000,
158670125,59.037485,59.037485,35.639671,2,-0.384216,0.278381,0.024292,0.879944,-28.010332,-0.732173,32.485379,30.195904,27.416607,3.494634,57.437130,77.950212,6.618135,0.000000,0.000000,
158679897,60.998759,60.998759,35.635143,2,-0.299622,0.285645,0.023010,0.910034,-28.081470,-1.679173,26.277230,30.818324,21.924921,-2.607012,58.865681,78.342311,0.567663,0.000000,0.000000,
158690701,61.207407,61.207407,35.635143,2,-0.213562,0.290344,0.020874,0.932556,-27.979066,-1.450751,17.811453,29.595884,15.026506,-10.282446,60.149974,78.508509,-6.548576,0.000000,0.000000,
158700050,62.156992,62.156992,35.639671,2,-0.126953,0.292664,0.017517,0.947571,-28.201093,-0.899241,14.535250,30.227820,8.930623,-13.497768,61.259251,78.617717,-11.106326,0.000000,0.000000,
158710842,62.898508,62.898508,35.644200,2,-0.040283,0.292725,0.013245,0.955261,-29.893780,-0.978064,10.659156,30.539359,3.557501,-17.724965,62.413673,78.620504,-15.447278,0.000000,0.000000,
158720171,63.910685,63.910685,35.635143,2,0.045227,0.289917,0.008179,0.955933,-28.623123,-0.243466,7.428597,27.832141,-2.446778,-19.471703,63.426713,78.614952,-18.086766,0.000000,0.000000,
158729829,64.860514,64.860514,35.639671,2,0.128967,0.284790,0.002441,0.949890,-28.981207,-0.392194,5.549590,26.414060,-7.147408,-20.839273,64.453475,78.581226,-19.892044,0.000000,0.000000,
158740897,65.485117,65.485117,35.639671,2,0.210693,0.277039,-0.003723,0.937500,-28.921487,-0.111998,3.020485,23.518091,-11.639648,-22.324440,65.515095,78.455151,-21.487373,0.000000,0.000000,
158750354,66.642283,66.642283,35.644200,2,0.289734,0.266907,-0.010193,0.919067,-29.161925,0.161285,1.472022,20.731516,-15.760435,-22.990776,66.467264,78.370848,-22.473403,0.000000,0.000000,
158760092,67.745432,67.745432,35.630614,2,0.366211,0.254333,-0.016724,0.894958,-26.483320,0.215093,-0.555414,15.562801,-17.171417,-22.632146,67.468838,78.300135,-22.577513,0.000000,0.000000,
158770781,67.565287,67.565287,35.639671,2,0.440369,0.239502,-0.022888,0.864990,-28.393597,1.174141,-1.779643,12.515921,-21.591319,-23.514294,68.322482,78.060327,-23.191918,0.000000,0.000000,
158780229,68.099467,68.099467,35.644200,2,0.512329,0.222656,-0.028625,0.828918,-29.491998,0.912157,-2.645990,9.397244,-24.372731,-23.761684,69.017111,77.809322,-23.565611,0.000000,0.000000,
158791010,69.112162,69.112162,35.635143,2,0.582031,0.204102,-0.033142,0.786438,-29.303944,0.569985,-3.786878,5.402025,-25.514916,-23.690526,69.872408,77.565043,-23.647539,0.000000,0.000000,
158800259,70.270243,70.270243,35.639671,2,0.650269,0.184082,-0.036377,0.736145,-30.215513,-0.178069,-4.697151,1.733219,-27.120558,-23.817955,70.663346,77.391754,-23.759307,0.000000,0.000000,
158810119,70.776438,70.776438,35.635143,2,0.716614,0.162781,-0.038147,0.677124,-29.364477,0.078044,-5.038766,-3.263269,-26.689225,-22.617880,71.446560,77.181819,-23.010681,0.000000,0.000000,
158821169,71.193064,71.193064,35.635143,2,0.779480,0.140381,-0.039001,0.609314,-29.646540,-0.767077,-6.206980,-7.489168,-26.346847,-22.754638,72.250528,76.900824,-22.842751,0.000000,0.000000,
158830626,71.519602,71.519602,35.639671,2,0.836365,0.117004,-0.039368,0.534119,-29.176931,-1.314890,-6.311891,-11.630602,-24.824565,-21.687488,72.839833,76.609562,-22.085053,0.000000,0.000000,
